index,artist_id,artist,artist_score,art_daily_score,art_all_tracks,art_unique_tracks,art_unique_days,sum_dur_min,art_daily_dur,artist_pic,genres
0,0yNLKJebCb8Aueb54LYya3,New Order,1103.03,148/20/0/0/79/205/159/29/11/90/10/77/55/0/0/65/86/11/73/149/47/0/29/0/59/0,169,66,19,1088.61,117.99/12.23/0/0/54.09/173.74/128.79/20.43/7.51/79.3/4.36/43.7/40.33/0/0/52.73/75.72/6.61/57.22/113.66/35.51/0/20.08/0/44.61/0,https://i.scdn.co/image/ab67616100005174a080a8e96758f416301578f9,New Wave/Synthpop/Post-punk/Madchester
863,4lianjyuR1tqf6oUX8kjrZ,Franco Battiato,655.33,26/0/59/47/0/0/168/106/20/0/0/0/18/0/0/0/0/0/118/0/0/0/95/69/0/231,118,66,11,484.19,10.79/0/26.37/35.04/0/0/78.83/46.54/11.68/0/0/0/8.33/0/0/0/0/0/63.62/0/0/0/47.65/37.16/0/118.18,https://i.scdn.co/image/c0abb832639988b72795fea90d4bb056b45ef5b5,Italian Singer-songwriter/Singer-songwriter
501,7AC976RDJzL2asmZuz7qil,Yes,488.05,10/0/0/0/28/9/19/0/0/70/0/136/10/96/48/0/0/11/53/0/45/0/11/0/0/0,66,29,13,395.86,4.48/0/0/0/16.42/2.66/9.85/0/0/43.74/0/123.32/3.93/65.76/39.62/0/0/6.58/47.04/0/26.22/0/6.24/0/0/0,https://i.scdn.co/image/ab676161000051746c988e753a5ad072bc7731fc,Progressive Rock/Art Rock/Aor
182,3iUjRVvYCsMfz7tuAQtBDI,Ultravox,476.05,0/0/0/0/10/85/0/0/0/0/10/0/0/0/10/0/158/19/20/64/109/71/0/0/0/0,65,49,10,346.21,0/0/0/0/4.41/53.87/0/0/0/0/4.48/0/0/0/3.89/0/97.83/9.09/12.42/48.93/61.23/50.06/0/0/0/0,https://i.scdn.co/image/ab67616100005174fc381297b48ed314c029dbb6,Synthpop/New Wave
830,0f3kLT4wvi2mFHlHJgV8Hl,Kajagoogoo,413.12,116/26/0/51/18/9/53/18/10/0/53/0/9/0/10/19/53/20/24/0/44/0/27/0/0/0,65,27,17,292.85,60.93/11.3/0/23.69/7.09/2.7/29.61/8.35/5.65/0/30.7/0/3.6/0/3.85/9.28/34.36/12.61/14.85/0/21.55/0/12.73/0/0/0,https://i.scdn.co/image/ce2c1bc7b5c61c9605cbd4f4fd4861197c3d0078,Synthpop/New Wave
560,1BGN1IdyiSR0ZYrkoKNchl,Tangerine Dream,350.23,0/0/0/0/10/0/52/10/0/0/0/145/12/0/129/0/0/0/0/0/0/0/0/0/0/0,41,36,6,247.05,0/0/0/0/5.14/0/27.04/5.14/0/0/0/104.75/8.75/0/96.23/0/0/0/0/0/0/0/0/0/0/0,https://i.scdn.co/image/ab676161000051749b94355f06250928e4e4ead0,Krautrock/Space Music/Space Rock/Progressive Rock/New Age/Ambient
879,3qlU3Nyu3XXO2k9AUnTcy1,Angelo Branduardi,342.38,0/0/170/0/0/0/18/52/10/0/0/0/19/0/0/0/0/0/91/0/43/0/36/0/0/10,53,30,9,227.95,0/0/88.98/0/0/0/8.3/25.57/4.89/0/0/0/9.79/0/0/0/0/0/45.6/0/20.82/0/19.26/0/0/4.74,https://i.scdn.co/image/ab676161000051745392c958a81f992dd5a778e1,Italian Singer-songwriter/Singer-songwriter
840,02frazNrWgZCxUEf4UTfHt,Van Der Graaf Generator,288.5,0/0/0/0/0/0/13/13/0/27/81/0/13/0/0/0/0/36/41/0/0/0/0/35/0/0,26,18,8,218.88,0/0/0/0/0/0/11.61/12.8/0/14.34/64.52/0/11.61/0/0/0/0/19.12/39.87/0/0/0/0/45.01/0/0,https://i.scdn.co/image/ab67616d00001e026931cd9c7b1f94ca74a0ec9a,Progressive Rock/Art Rock/Krautrock/Space Rock
526,7LGjULfs3CUorLei47BKKk,Dissidenten,258.06,0/0/0/0/0/0/0/0/0/0/0/0/46/132/10/0/0/0/0/0/55/0/10/0/0/0,29,25,5,171.71,0/0/0/0/0/0/0/0/0/0/0/0/31.79/91.34/3.92/0/0/0/0/0/40.74/0/3.92/0/0/0,https://i.scdn.co/image/e3722e649e162a903607549c4c6df0e5adff90b9,Krautrock
515,4P70aqttdpJ9vuYFDmf7f6,Vangelis,231.37,0/0/0/0/0/0/0/0/0/0/0/61/82/0/37/0/39/0/0/0/0/0/0/0/0/0,24,23,4,151.91,0/0/0/0/0/0/0/0/0/0/0/35.19/65.19/0/21.75/0/29.78/0/0/0/0/0/0/0/0/0,https://i.scdn.co/image/ab676161000051744eb15436c35fface06216543,New Age
