,artist_score
Kajagoogoo,1090.08
Van Der Graaf Generator,937.34
Franco Battiato,582.67
The Dandy Warhols,541.93
King Crimson,416.6
Banco Del Mutuo Soccorso,320.74
Premiata Forneria Marconi,286.23
Yes,244.84
NEU!,193.81
The Rolling Stones,185.38
The Beatles,174.88
Genesis,159.44
The Kinks,127.13
"Anderson, Squire, Howe",119.88
Grateful Dead,117.78
Curved Air,107.96
Mezquita,106.95
Depeche Mode,103.54
Triana,101.68
Camel,94.24
Tangerine Dream,90.78
Traffic,83.16
Pink Floyd,79.52
Logos,75.12
Area,73.98
Fleetwood Mac,69.48
The Who,65.88
Vangelis,62.38
Aphrodite's Child,62.09
Jimmy Smith,55.66
Creedence Clearwater Revival,54.05
Led Zeppelin,53.52
Irmin Schmidt,51.48
Talking Heads,49.87
Focus,46.25
Angelo Branduardi,45.45
Le Orme,44.1
Los Lobos,43.23
Ten Years After,38.88
Lucio Battisti,38.76
Jimmy Giuffre,35.82
CAN,35.75
The Beach Boys,35.72
Frank Zappa,35.23
New Order,35.07
Lynyrd Skynyrd,31.88
Steven Wilson,31.5
Mal Waldron,31.1
Jerry Garcia Band,30.46
Billy Cobham,30.28
Bad Company,30.08
Bob Dylan,29.9
America,29.72
Kraan,29.44
The Pretty Things,29.24
Violeta Parra,29.04
East Of Eden,27.35
La coscienza di Zeno,26.51
Jethro Tull,25.65
Pearl Jam,25.49
Eric Clapton,25.46
Neil Young,25.1
Angine de Poitrine,21.32
R.E.M.,20.93
Victor Jara,20.25
Soft Machine,15.0
Locanda delle fate,14.08
Golden Earring,14.0
Jimi Hendrix,13.75
Miles Davis,13.48
Fairport Convention,13.23
The Boomtown Rats,13.2
Louis Armstrong,13.2
The Doors,13.19
Kaja,13.05
"Emerson, Lake & Palmer",12.99
The Stranglers,12.95
Anouar Brahem,12.92
PJ Harvey,12.92
The Alan Parsons Project,12.9
Porcupine Tree,12.87
Leonard Cohen,12.75
The Byrds,12.71
Eric Burdon & the Animals,12.69
Radiohead,12.66
Pentangle,12.66
Gentle Giant,12.64
Jean-Luc Ponty,12.63
Dhafer Youssef,12.62
Charlie Parker,12.58
The Durutti Column,12.57
Pixies,12.55
Jefferson Airplane,12.39
The Trashmen,12.29
Strawberry Alarm Clock,12.09
Red Hot Chili Peppers,12.04
